TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;6,46;;-11,37;0,93;0,34;27,68;9,63;-7,04;8,31;11,04;2,72;0,30;0,80;34,63;-0,46;1,04;-8,17;-3,01;6,82;0,37;0,62;0,43;2,55;;316.300,71;6,95;-0,57;0,19;984.242.253,72
ABCB4;23,31;8,35;5,89;0,87;0,09;21,67;12,42;10,32;4,90;4,90;;;0,61;-2,48;-0,09;0,20;14,71;1,56;;0,11;0,89;0,15;35,11;14,24;6.846.147,00;26,90;3,96;0,61;5.702.951.336,67
ABEV3;12,52;8,40;13,38;2,13;1,39;51,50;25,06;16,08;8,59;7,96;-0,63;-0,16;2,15;50,34;-1,95;1,11;15,95;10,38;18,73;0,65;0,34;0,65;11,20;4,60;359.309.243,86;5,87;0,94;5,40;197.335.717.225,12
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;4,10;;-0,22;-4,01;0,12;5,17;-87,08;-112,32;-0,28;-2,09;-1,81;;0,25;1,16;-0,20;1,41;-1.823,36;-56,67;-58,22;-0,03;1,03;0,50;12,70;;544.332,33;-1,02;-18,65;0,00;254.692.803,60
AESB3;8,12;;-17,01;1,70;0,37;27,59;23,00;-10,02;7,41;18,23;10,82;2,49;1,70;-15,45;-0,42;0,84;-10,02;-2,15;5,10;0,21;0,73;0,21;;;13.684.494,00;4,76;-0,48;-0,08;6.973.842.690,64
AFLT3;7,40;5,80;17,87;1,94;1,32;54,38;48,60;34,47;12,68;12,88;0,20;0,03;6,16;9,77;-1,75;2,24;10,86;7,40;11,23;0,68;0,32;0,21;17,36;0,67;2.673,00;3,81;0,41;-2,51;466.826.780,00
AGRO3;20,47;7,60;15,23;0,97;0,55;28,86;17,49;11,78;10,25;15,87;5,62;0,53;1,79;4,05;-0,79;1,79;6,34;3,60;4,20;0,57;0,43;0,31;10,70;2,91;2.471.620,29;21,21;1,34;-0,39;2.101.930.098,68
AGXY3;5,71;;-0,03;-0,05;0,03;-4,18;-59,21;-86,99;-0,05;-0,68;-0,63;;0,03;-0,03;-0,05;0,33;-145,31;-83,71;433,24;-0,58;1,58;0,96;24,29;;118.329,19;-118,43;-172,09;0,00;96.896.250,41
AHEB3;29,59;;2,44;1,01;0,47;19,41;12,54;15,36;2,98;2,91;-0,11;-0,04;0,37;1,43;-0,82;4,03;41,26;19,10;26,80;0,46;0,54;1,24;44,62;;3.826,25;29,44;12,15;-0,14;256.270.015,43
AHEB5;58,00;;4,77;1,97;0,91;19,41;12,54;15,36;5,85;2,91;-0,11;-0,04;0,73;2,79;-1,61;4,03;41,26;19,10;26,80;0,46;0,54;1,24;44,62;;0,00;29,44;12,15;-0,28;256.270.015,43
AHEB6;55,00;;4,53;1,87;0,86;19,41;12,54;15,36;5,55;2,91;-0,11;-0,04;0,70;2,65;-1,53;4,03;41,26;19,10;26,80;0,46;0,54;1,24;44,62;;5.500,00;29,44;12,15;-0,27;256.270.015,43
ALLD3;8,41;24,19;7,14;0,53;0,24;11,61;3,27;2,07;4,53;5,75;1,21;0,14;0,15;0,77;-0,85;1,76;7,44;3,34;7,88;0,45;0,55;1,61;8,27;2,08;1.308.451,67;15,82;1,18;-0,26;796.721.434,10
ALOS3;25,50;4,71;18,78;1,03;0,52;74,56;55,52;26,33;8,90;7,00;-1,91;-0,22;4,94;5,52;-0,61;2,91;5,48;2,79;10,76;0,51;0,46;0,11;29,82;101,81;64.395.468,10;24,77;1,36;2,07;13.844.891.179,50
ALPA3;9,24;1,05;24,29;1,53;1,02;46,65;5,85;5,97;24,80;24,79;-0,71;-0,04;1,45;3,75;-2,00;2,25;6,29;4,19;4,82;0,67;0,33;0,70;2,05;-1,06;44.345,05;6,05;0,38;-0,21;6.490.141.728,44
ALPA4;9,76;1,09;25,66;1,61;1,08;46,65;5,85;5,97;26,20;24,79;-0,71;-0,04;1,53;3,96;-2,11;2,25;6,29;4,19;4,82;0,67;0,33;0,70;2,05;-1,06;15.324.701,71;6,05;0,38;-0,22;6.490.141.728,44
ALPK3;3,27;;-205,66;2,04;0,28;32,65;13,48;-0,20;3,10;8,45;5,36;3,53;0,42;-9,15;-0,35;0,88;-0,99;-0,13;11,67;0,13;0,86;0,66;7,96;;455.076,10;1,60;-0,02;2,26;717.129.746,91
ALUP11;31,17;2,89;9,90;1,20;0,33;69,38;65,43;24,01;3,63;6,84;3,21;1,06;2,38;2,95;-0,41;2,13;12,11;3,31;11,18;0,27;0,62;0,14;-2,71;3,11;20.131.578,43;26,00;3,15;0,24;10.274.469.444,39
ALUP3;11,04;2,72;10,52;1,27;0,35;69,38;65,43;24,01;3,86;6,84;3,21;1,06;2,53;3,14;-0,44;2,13;12,11;3,31;11,18;0,27;0,62;0,14;-2,71;3,11;38.610,19;8,67;1,05;0,25;10.274.469.444,39
ALUP4;10,00;3,00;9,53;1,15;0,32;69,38;65,43;24,01;3,50;6,84;3,21;1,06;2,29;2,84;-0,40;2,13;12,11;3,31;11,18;0,27;0,62;0,14;-2,71;3,11;70.766,57;8,67;1,05;0,23;10.274.469.444,39
AMAR3;1,26;;-10,61;2,24;0,32;51,34;12,16;-4,04;3,52;7,13;3,61;2,29;0,43;-1,54;-0,43;0,56;-21,07;-3,02;18,95;0,14;0,86;0,75;-13,55;;360.428,14;0,56;-0,12;0,12;646.954.614,18
AMBP3;14,25;;-92,76;21,77;1,41;18,22;17,36;-3,54;18,93;23,99;5,06;5,81;3,29;5,13;-2,48;2,72;-23,47;-1,52;8,91;0,06;0,87;0,43;67,64;;5.574.255,67;0,65;-0,15;4,87;23.803.466.332,50
AMER3;7,46;;0,16;0,34;0,09;29,46;-2,68;63,18;-3,87;-6,74;-2,87;0,25;0,10;0,71;-0,15;1,49;207,93;56,25;-142,53;0,27;0,73;0,89;16,22;;19.077.253,29;21,85;45,44;0,00;1.493.827.379,22
AMOB3;13,05;;;;;3,60;-46,82;-57,58;;;-0,01;;;;;0,19;-2.595,29;-6.030,26;2.660,36;-2,32;3,32;104,73;;;855.849,81;;;;0,00
ANIM3;3,57;1,50;10,26;0,61;0,14;61,00;23,44;3,62;1,59;6,01;4,42;1,69;0,37;1,11;-0,19;2,22;5,91;1,41;10,41;0,24;0,70;0,39;26,33;;17.407.134,48;5,89;0,35;-0,04;1.441.811.633,85
APER3;46,75;;-32,82;2,02;1,01;100,00;6,60;-8,16;40,57;43,31;2,74;0,14;2,68;115,28;-1,38;1,03;-6,15;-3,09;2,91;0,50;0,50;0,38;29,52;;51.166,00;23,16;-1,42;0,16;953.269.946,75
APTI3;197,64;;0,13;0,01;0,01;100,11;36,55;70,66;0,26;0,37;-2,23;-0,12;0,09;0,02;-0,01;9,00;10,21;5,45;2,60;0,53;0,47;0,08;-2,98;;;14.644,64;1.495,24;0,00;37.417.457,40
APTI4;2.930,92;;1,96;0,20;0,11;100,11;36,55;70,66;3,79;0,37;-2,23;-0,12;1,39;0,26;-0,20;9,00;10,21;5,45;2,60;0,53;0,47;0,08;-2,98;;0,00;14.644,64;1.495,24;-0,05;37.417.457,40
ARML3;3,75;6,02;17,71;1,05;0,28;35,93;22,91;3,94;3,05;7,52;4,47;1,55;0,70;1,51;-0,42;2,42;5,95;1,60;11,04;0,27;0,72;0,41;95,79;51,59;4.832.351,71;3,56;0,21;-0,28;1.299.352.863,75
ASAI3;10,10;1,06;14,83;2,44;0,31;16,67;5,36;1,21;3,34;6,32;2,97;2,17;0,18;9,53;-0,47;1,11;16,47;2,08;17,91;0,13;0,87;1,72;21,32;-2,51;137.975.010,76;4,14;0,68;0,38;13.669.705.609,90
AURA33;57,95;3,99;-35,78;16,50;1,98;49,36;42,08;-9,03;7,68;8,63;0,95;2,05;3,23;69,06;-2,67;1,12;-46,12;-5,53;34,25;0,12;0,88;0,61;29,10;;20.923.427,43;3,51;-1,62;-0,34;12.586.483.571,25
AURE3;10,68;0,53;-16,01;0,88;0,23;19,44;13,73;-6,34;7,40;20,41;13,01;1,56;1,02;4,82;-0,28;1,36;-5,52;-1,42;3,55;0,26;0,71;0,22;;;39.491.177,86;12,08;-0,67;-0,20;11.218.036.762,32
AVLL3;1,67;;-5,45;-2,43;0,24;37,40;21,30;-8,65;2,21;5,56;3,35;;0,47;-4,33;-0,39;0,88;-44,56;-4,36;24,32;-0,10;1,07;0,50;32,82;;24.788,38;-0,69;-0,31;0,07;326.201.201,87
AZEV3;0,44;;-2,09;0,33;0,12;-0,65;-27,51;-65,71;-5,00;-19,84;-14,77;0,99;1,37;-1,54;-0,15;0,74;-16,00;-5,69;-9,19;0,36;0,64;0,09;144,07;;459.058,81;1,32;-0,21;0,08;264.720.231,08
AZEV4;0,45;;-2,14;0,34;0,12;-0,65;-27,51;-65,71;-5,11;-19,84;-14,77;0,99;1,41;-1,58;-0,16;0,74;-16,00;-5,69;-9,19;0,36;0,64;0,09;144,07;;676.735,90;1,32;-0,21;0,08;264.720.231,08
AZTE3;0,45;;;;;;;;;;;;;;;;;;;;;;;;1.486.457,29;;;;0,00
AZUL4;1,36;;0,24;-0,16;0,15;29,19;17,10;81,72;1,14;9,21;8,86;;0,20;-0,29;-0,21;0,34;-65,94;63,84;42,77;-0,97;1,97;0,78;11,28;;71.751.686,95;-8,61;5,68;0,00;1.257.219.298,27
AZZA3;32,10;1,79;8,34;0,79;0,43;54,72;6,76;6,88;8,49;11,32;2,83;0,27;0,57;2,56;-0,77;1,61;9,53;5,12;0,36;0,54;0,46;0,74;37,92;37,42;52.182.791,33;40,39;3,85;0,10;6.628.322.997,30
B3SA3;13,63;2,17;14,91;3,64;1,53;90,57;58,91;44,65;11,30;11,29;-0,01;0,00;6,66;7,07;-2,35;2,62;24,40;10,24;9,27;0,42;0,58;0,23;12,34;12,15;291.501.181,19;3,75;0,91;0,99;71.782.395.000,00
BAHI3;4,51;;-1,66;1,84;0,26;56,98;-7,21;-20,37;-4,70;-6,22;-1,52;0,60;0,34;-1,15;-0,29;0,31;-110,79;-15,70;-17,28;0,14;0,79;0,77;46,22;;16.499,00;2,45;-2,71;0,00;119.021.524,82
BALM3;20,90;3,06;7,20;1,13;0,71;62,09;20,86;13,02;4,50;2,74;-1,34;-0,34;0,94;1,37;-2,63;3,46;15,66;9,89;14,03;0,63;0,37;0,76;5,42;35,38;1.824,88;18,52;2,90;0,07;185.710.000,00
BALM4;17,00;7,99;5,86;0,92;0,58;62,09;20,86;13,02;3,66;2,74;-1,34;-0,34;0,76;1,12;-2,14;3,46;15,66;9,89;14,03;0,63;0,37;0,76;5,42;35,38;29.427,21;18,52;2,90;0,05;185.710.000,00
BAUH3;0,00;;0,00;0,00;0,00;25,05;8,24;10,69;0,00;;-2,70;-0,43;0,00;0,00;0,00;1,92;20,76;14,49;13,86;0,70;0,30;1,36;6,53;0,98;;26,02;5,40;0,00;
BAUH4;86,96;1,42;16,10;3,34;2,33;25,05;8,24;10,69;20,88;;-2,70;-0,43;1,72;8,92;-5,15;1,92;20,76;14,49;13,86;0,70;0,30;1,36;6,53;0,98;153.531,67;26,02;5,40;0,55;
BAZA3;77,70;10,31;3,53;0,65;0,08;10,24;25,41;23,66;3,29;3,29;;;0,84;79,51;-0,08;;18,42;2,17;;0,12;0,88;0,09;26,63;34,96;409.390,48;119,36;21,99;-1,37;4.355.731.075,50
BBAS3;21,63;7,97;6,61;0,68;0,05;34,96;2,96;6,48;14,48;14,48;;;0,43;2,08;-0,05;11,97;10,31;0,77;;0,07;0,92;0,12;17,31;2,74;680.767.848,24;31,76;3,27;-0,14;123.957.940.285,20
BBDC3;15,15;7,59;7,65;0,92;0,07;31,68;8,22;8,95;8,33;9,03;;;0,68;0,79;-0,08;11,31;12,05;0,98;;0,08;0,92;0,11;11,40;-0,05;93.005.386,52;16,43;1,98;0,13;173.953.742.404,05
BBDC4;17,70;6,98;8,94;1,08;0,09;31,68;8,22;8,95;9,73;9,03;;;0,80;0,92;-0,10;11,31;12,05;0,98;;0,08;0,92;0,11;11,40;-0,05;426.153.983,95;16,43;1,98;0,16;173.953.742.404,05
BBML3;3.936,42;;-953,24;-726,01;151,19;-1,36;-9,39;-11,16;-1.133,67;-1.136,71;-3,04;;106,40;-192,44;-213,85;0,27;-76,16;-15,86;-166,64;-0,21;1,21;1,42;25,94;;;-5,42;-4,13;-0,35;160.451.699.191,56
BBSE3;32,89;12,96;7,38;6,27;3,08;;;;6,64;6,64;;;;22,83;-5,78;1,40;84,97;41,71;;0,49;0,51;0,00;;6,01;189.398.274,29;5,25;4,46;1,17;65.780.000.000,00
BDLL3;7,50;;-0,61;-0,05;0,02;18,85;-40,93;-35,53;-0,53;-8,12;-7,55;;0,22;-0,04;-0,04;0,44;-7,97;-3,78;47,26;-0,47;1,47;0,11;-2,75;;2.018,57;-153,42;-12,22;0,00;12.893.527,20
BDLL4;8,40;;-0,69;-0,05;0,03;18,85;-40,93;-35,53;-0,60;-8,12;-7,55;;0,24;-0,05;-0,04;0,44;-7,97;-3,78;47,26;-0,47;1,47;0,11;-2,75;;0,00;-153,42;-12,22;0,01;12.893.527,20
BEEF3;6,49;;-7,66;4,55;0,15;19,01;7,07;-1,91;2,07;6,59;4,52;9,92;0,15;0,93;-0,38;1,34;-59,34;-1,90;10,74;0,03;0,95;1,00;14,75;;65.581.202,95;1,43;-0,85;0,01;6.489.855.266,51
BEES3;8,28;5,76;7,72;1,22;0,07;31,53;10,44;7,81;5,78;5,76;;;0,60;0,35;-0,09;;15,77;0,96;;0,06;0,94;0,12;17,11;11,60;156.536,10;6,80;1,07;0,60;2.871.730.476,12
BEES4;8,22;6,12;7,67;1,21;0,07;31,53;10,44;7,81;5,73;5,76;;;0,60;0,35;-0,09;;15,77;0,96;;0,06;0,94;0,12;17,11;11,60;61.149,86;6,80;1,07;0,60;2.871.730.476,12
BFRE11;0,00;;0,00;0,00;0,00;100,00;195,96;118,16;0,00;;;;0,00;0,00;0,00;;6,82;5,98;;0,88;0,10;0,05;;6,26;;309.815,90;21.126,92;0,00;
BFRE12;0,00;;0,00;0,00;0,00;100,00;195,96;118,16;0,00;;;;0,00;0,00;0,00;;6,82;5,98;;0,88;0,10;0,05;;6,26;;309.815,90;21.126,92;0,00;
BGIP3;33,21;8,17;4,74;0,86;0,06;35,60;15,59;10,90;3,31;3,08;;;0,52;7,96;-0,06;;18,15;1,22;;0,07;0,93;0,11;13,57;12,55;49.665,71;38,62;7,01;0,02;664.762.833,80
BGIP4;28,49;10,48;4,06;0,74;0,05;35,60;15,59;10,90;2,84;3,08;;;0,44;6,83;-0,05;;18,15;1,22;;0,07;0,93;0,11;13,57;12,55;78.936,37;38,62;7,01;0,02;664.762.833,80
BHIA3;4,90;;-2,01;0,99;0,10;30,06;-1,82;-5,98;-6,62;-21,00;-14,38;2,15;0,12;-0,79;-0,17;0,76;-49,14;-5,11;-11,40;0,10;0,90;0,85;1,39;;33.882.084,62;4,96;-2,44;0,18;3.204.004.150,20
BIDI11;10,40;;-238,07;1,08;0,23;50,04;-13,62;-5,22;-91,21;-91,21;;;12,42;;-0,24;;-0,45;-0,10;;0,22;0,78;0,02;5,80;;;9,67;-0,04;0,13;8.991.139.764,53
BIDI3;3,40;;-233,49;1,06;0,23;50,04;-13,62;-5,22;-89,46;-91,21;;;12,19;;-0,24;;-0,45;-0,10;;0,22;0,78;0,02;5,80;;;3,22;-0,01;0,12;8.991.139.764,53
BIDI4;3,41;;-234,18;1,06;0,23;50,04;-13,62;-5,22;-89,72;-91,21;;;12,22;;-0,24;;-0,45;-0,10;;0,22;0,78;0,02;5,80;;;3,22;-0,01;0,12;8.991.139.764,53
BIOM3;8,62;;-17,51;4,96;2,82;12,48;-36,57;-48,45;-23,20;-23,80;-0,60;0,13;8,48;9,61;-5,36;2,64;-28,30;-16,12;-14,98;0,57;0,43;0,33;74,06;;147.877,14;1,74;-0,49;1,08;1.179.574.005,84
BLAU3;14,21;2,38;9,02;1,13;0,73;39,95;23,89;15,99;6,04;6,53;0,49;0,09;1,44;2,29;-1,38;3,17;12,47;8,14;8,83;0,65;0,35;0,51;12,41;7,14;2.476.781,62;12,63;1,58;0,29;2.549.187.873,19
BLUT3;5,14;;-5,63;0,46;0,14;;;;-6,17;-4,91;-1,59;0,12;;-0,76;-0,14;0,00;-8,24;-2,45;-6,72;0,30;0,70;0,00;;;;11,09;-0,91;0,20;14.115.600,06
BLUT4;1,52;;-1,66;0,14;0,04;;;;-1,82;-4,91;-1,59;0,12;;-0,22;-0,04;0,00;-8,24;-2,45;-6,72;0,30;0,70;0,00;;;;11,09;-0,91;0,06;14.115.600,06
BMEB3;42,00;2,58;7,82;2,13;0,15;47,17;7,89;8,15;8,08;8,68;;;0,64;0,75;-0,18;;27,19;1,89;;0,07;0,93;0,23;21,54;38,42;25.793,33;19,74;5,37;10,12;4.727.474.698,48
BMEB4;50,18;2,37;9,35;2,54;0,18;47,17;7,89;8,15;9,66;8,68;;;0,76;0,90;-0,22;;27,19;1,89;;0,07;0,93;0,23;21,54;38,42;901.821,19;19,74;5,37;12,09;4.727.474.698,48
BMGB4;3,93;10,23;7,54;0,51;0,05;40,50;1,57;3,34;16,05;16,05;;;0,25;-0,12;-0,05;0,03;6,80;0,63;;0,09;0,91;0,19;20,01;-4,73;1.358.244,19;7,67;0,52;-0,32;2.292.103.375,23
BMIN3;22,99;1,54;12,40;0,78;0,18;25,17;27,33;16,16;7,33;7,04;;;2,00;62,11;-0,18;;6,28;1,46;;0,23;0,77;0,09;24,69;32,07;2.299,00;29,53;1,85;0,57;106.535.562,83
BMIN4;16,80;8,33;9,06;0,57;0,13;25,17;27,33;16,16;5,36;7,04;;;1,46;45,39;-0,13;;6,28;1,46;;0,23;0,77;0,09;24,69;32,07;6.620,43;29,53;1,85;0,42;106.535.562,83
BMKS3;421,00;7,87;2,49;0,74;0,58;29,89;-5,33;518,61;-242,34;-49,30;193,04;-0,59;12,92;0,84;-3,78;5,35;29,69;23,24;-14,23;0,78;0,22;0,04;-0,59;95,58;17.143,75;569,45;169,04;0,01;191.449.750,00
BMOB3;22,52;7,52;15,31;1,71;1,19;24,08;8,22;7,99;14,88;11,22;-3,65;-0,42;1,22;2,85;-3,60;2,65;11,17;7,77;5,25;0,70;0,30;0,97;57,50;28,16;6.325.614,76;13,17;1,47;1,43;1.927.900.987,84
BNBR3;97,00;6,16;3,54;0,65;0,13;45,86;50,57;29,88;2,09;2,09;;;1,06;2,89;-0,13;;18,25;3,64;;0,20;0,80;0,12;8,63;9,28;29.250,77;150,25;27,42;0,15;9.573.875.653,00
BOAS3;7,95;;15,22;1,83;1,70;56,53;19,25;32,39;25,60;18,69;-6,92;-0,50;4,93;3,34;-3,80;12,37;12,04;11,16;0,99;0,93;0,07;0,34;8,81;74,34;;4,34;0,52;1,98;4.212.250.617,75
BOBR3;1,00;;3,57;275,96;0,28;41,02;13,83;4,73;1,22;2,68;1,23;277,35;0,17;-15,43;-0,61;0,97;7.721,50;7,91;41,92;0,00;1,00;1,67;6,30;0,76;0,00;0,00;0,28;-0,11;309.667.563,80
BOBR4;1,40;;5,00;386,35;0,40;41,02;13,83;4,73;1,71;2,68;1,23;277,35;0,24;-21,60;-0,86;0,97;7.721,50;7,91;41,92;0,00;1,00;1,67;6,30;0,76;13.906,52;0,00;0,28;-0,16;309.667.563,80
BPAC11;47,32;2,23;14,39;2,71;0,28;43,02;42,32;35,02;11,91;11,91;;;5,04;-0,38;-0,28;0,01;18,87;1,91;;0,10;0,89;0,05;25,49;27,45;314.655.444,10;17,43;3,29;0,83;181.489.864.997,65
BPAC3;25,69;1,37;23,43;4,42;0,45;43,02;42,32;35,02;19,39;11,91;;;8,21;-0,62;-0,45;0,01;18,87;1,91;;0,10;0,89;0,05;25,49;27,45;67.907,71;5,81;1,10;1,36;181.489.864.997,65
BPAC5;10,94;3,22;9,98;1,88;0,19;43,02;42,32;35,02;8,26;11,91;;;3,49;-0,26;-0,19;0,01;18,87;1,91;;0,10;0,89;0,05;25,49;27,45;20.989,38;5,81;1,10;0,58;181.489.864.997,65
BPAN4;8,02;3,01;25,42;1,35;0,15;40,14;0,30;2,73;230,18;230,18;;;0,69;-112,88;-0,15;0,02;5,33;0,60;;0,11;0,89;0,22;10,77;-8,43;6.646.435,24;5,92;0,32;-0,74;10.177.942.121,80
BPAR3;117,42;10,42;3,81;0,50;0,06;50,96;11,97;8,37;2,66;2,66;;;0,32;4,03;-0,06;;13,14;1,51;;0,11;0,89;0,18;14,76;-1,95;0,00;234,80;30,85;-0,19;1.118.032.025,58
BPAT33;44,05;;6,98;0,66;0,09;51,56;21,77;5,61;1,80;1,80;;;0,39;;-0,12;;9,46;1,35;;0,14;0,86;0,24;14,99;-18,89;;66,71;6,31;-0,11;1.533.769.021,00
BPHA3;0,62;;0,06;-0,24;0,99;98,02;1.029,99;13.896,67;0,80;1,66;0,85;;8,28;-0,38;-1,18;0,06;-402,50;1.669,02;-36,75;-4,15;5,15;0,12;-68,85;;;-2,58;10,40;0,00;70.110.298,74
BRAP3;15,58;11,84;5,66;0,70;0,69;;;;6,05;6,12;-0,29;-0,03;;24,57;-0,72;6,50;12,34;12,27;11,52;0,99;0,01;0,00;;;394.469,81;22,31;2,75;-0,14;6.486.696.714,84
BRAP4;17,00;11,93;6,18;0,76;0,76;;;;6,60;6,12;-0,29;-0,03;;26,81;-0,78;6,50;12,34;12,27;11,52;0,99;0,01;0,00;;;38.842.390,62;22,31;2,75;-0,15;6.486.696.714,84
BRAV3;18,50;;5,47;0,70;0,20;28,96;29,34;15,45;2,88;7,00;4,12;1,00;0,85;4,22;-0,24;1,37;12,81;3,61;7,83;0,28;0,72;0,23;206,24;;121.944.588,90;26,39;3,38;-0,01;8.587.468.047,00
BRBI11;18,00;11,50;10,47;2,34;0,12;100,00;3,91;51,30;137,43;44,63;-92,80;-1,58;5,37;2,86;-12,86;1,04;22,37;1,17;-0,24;0,05;0,95;0,02;-5,26;18,73;2.918.026,86;7,69;1,72;-4,69;1.889.922.672,00
BRBI3;0,00;;0,00;0,00;0,00;100,00;3,91;51,30;0,00;44,63;-92,80;-1,58;0,00;0,00;0,00;1,04;22,37;1,17;-0,24;0,05;0,95;0,02;-5,26;18,73;;2,56;0,57;0,00;1.889.922.672,00
BRBI4;0,00;;0,00;0,00;0,00;100,00;3,91;51,30;0,00;44,63;-92,80;-1,58;0,00;0,00;0,00;1,04;22,37;1,17;-0,24;0,05;0,95;0,02;-5,26;18,73;;2,56;0,57;0,00;1.889.922.672,00
BRFS3;18,82;14,83;8,83;1,88;0,49;26,31;11,49;5,61;4,31;5,08;0,77;0,34;0,50;2,83;-1,01;1,52;21,28;5,58;13,44;0,26;0,72;0,99;12,91;64,51;197.700.974,90;10,01;2,13;0,09;31.664.146.489,72
BRGE11;13,18;;33,11;0,52;0,32;-4.115,33;-798,17;824,67;-34,21;21,81;56,17;-0,85;273,04;0,85;-0,75;3,06;1,56;0,98;-2,91;0,63;0,37;0,00;-32,83;-11,18;;25,56;0,40;-0,51;974.940.393,52
BRGE12;13,47;;33,84;0,53;0,33;-4.115,33;-798,17;824,67;-34,96;21,81;56,17;-0,85;279,05;0,87;-0,77;3,06;1,56;0,98;-2,91;0,63;0,37;0,00;-32,83;-11,18;;25,56;0,40;-0,52;974.940.393,52
BRGE3;13,50;;33,91;0,53;0,33;-4.115,33;-798,17;824,67;-35,04;21,81;56,17;-0,85;279,67;0,87;-0,77;3,06;1,56;0,98;-2,91;0,63;0,37;0,00;-32,83;-11,18;;25,56;0,40;-0,52;974.940.393,52
BRGE5;13,18;;33,11;0,52;0,32;-4.115,33;-798,17;824,67;-34,21;21,81;56,17;-0,85;273,04;0,85;-0,75;3,06;1,56;0,98;-2,91;0,63;0,37;0,00;-32,83;-11,18;;25,56;0,40;-0,51;974.940.393,52
BRGE6;12,92;;32,46;0,51;0,32;-4.115,33;-798,17;824,67;-33,53;21,81;56,17;-0,85;267,65;0,83;-0,74;3,06;1,56;0,98;-2,91;0,63;0,37;0,00;-32,83;-11,18;;25,56;0,40;-0,50;974.940.393,52
BRGE7;13,07;;32,83;0,51;0,32;-4.115,33;-798,17;824,67;-33,92;21,81;56,17;-0,85;270,76;0,84;-0,74;3,06;1,56;0,98;-2,91;0,63;0,37;0,00;-32,83;-11,18;;25,56;0,40;-0,50;974.940.393,52
BRGE8;13,17;;33,08;0,52;0,32;-4.115,33;-798,17;824,67;-34,18;21,81;56,17;-0,85;272,83;0,85;-0,75;3,06;1,56;0,98;-2,91;0,63;0,37;0,00;-32,83;-11,18;;25,56;0,40;-0,51;974.940.393,52
BRIV3;12,86;;388,74;0,67;0,04;12,70;-0,94;0,09;-37,40;-37,03;;;0,35;2,19;-0,04;4,00;0,17;0,01;;0,06;0,94;0,12;29,48;-43,98;;19,32;0,03;-3,98;1.128.165.604,64
BRIV4;12,54;;379,07;0,65;0,04;12,70;-0,94;0,09;-36,47;-37,03;;;0,34;2,14;-0,04;4,00;0,17;0,01;;0,06;0,94;0,12;29,48;-43,98;;19,32;0,03;-3,89;1.128.165.604,64
BRKM3;9,06;;-1,24;-1,90;0,08;6,52;-1,65;-7,47;-5,63;-33,72;-28,24;;0,09;1,37;-0,12;1,21;-152,67;-6,36;-9,59;-0,04;1,04;0,85;8,15;;137.496,19;-4,77;-7,29;0,03;7.025.745.642,30
BRKM5;8,49;;-1,17;-1,78;0,07;6,52;-1,65;-7,47;-5,27;-33,72;-28,24;;0,09;1,28;-0,11;1,21;-152,67;-6,36;-9,59;-0,04;1,04;0,85;8,15;;21.636.056,33;-4,77;-7,29;0,03;7.025.745.642,30
BRKM6;7,33;;-1,01;-1,54;0,06;6,52;-1,65;-7,47;-4,55;-33,72;-28,24;;0,08;1,11;-0,10;1,21;-152,67;-6,36;-9,59;-0,04;1,04;0,85;8,15;;2.376,79;-4,77;-7,29;0,03;7.025.745.642,30
BRML3;8,26;;12,55;0,57;0,34;88,79;65,47;33,24;6,37;8,29;1,92;0,17;4,17;7,22;-0,37;2,20;4,52;2,70;6,68;0,60;0,40;0,08;4,55;-15,42;;14,57;0,66;-0,16;6.770.891.280,44
BRPR3;131,17;;-0,56;0,05;0,04;100,00;-336,36;-123,98;-0,21;0,06;0,27;-0,07;0,70;1,73;-0,05;1,12;-9,55;-6,86;-31,25;0,72;0,28;0,06;-7,12;;;2.447,95;-233,75;0,01;60.919.545,44
BRQB3;0,00;;0,00;0,00;0,00;36,23;14,59;11,30;0,00;-1,51;-1,51;-0,54;0,00;0,00;0,00;2,45;27,79;17,88;17,45;0,64;0,35;1,58;6,83;17,37;;1,74;0,48;0,00;0,00
BRSR3;13,03;9,53;5,74;0,49;0,03;31,32;5,59;4,93;5,05;4,81;;;0,28;3,01;-0,03;2,06;8,58;0,59;;0,07;0,93;0,12;15,28;-6,05;59.384,10;26,49;2,27;-1,41;5.078.128.583,03
BRSR5;15,98;7,80;7,03;0,60;0,04;31,32;5,59;4,93;6,19;4,81;;;0,35;3,69;-0,04;2,06;8,58;0,59;;0,07;0,93;0,12;15,28;-6,05;3.195,00;26,49;2,27;-1,73;5.078.128.583,03
